success;error;priv;pub;curve;params;apdu;sws
1;0;0x50f3e23c2e42d6054b904d060cd2cf6be7498b0666689ac457b99f51fe0ae99;0445dbf02c73fa5589e917cdf8effaf8b086bf8cdf3a225f5c3c02cf10eb7cf0d17d03cfca7c33b32cb1efad00aa1f4214671d2c1533e5f2fafe3436a8ca060693;0xbb6a8d6996bd115b99c7d1a1c678808f6d43f0b068af1c8b47c7ce8e27b98533,0x7ae7444e9b318b051a97c6d69c9a9942fde73214c3a3a45c8d1f4baf8a42d375,0x85426732d50522f0b79d87354150f12ca6aa458e5cd6afb18b501e6bf89053bb,0x5567babc4cb5bdca275d8113a8d920f6144297b8c67ec4a0565feaafaf8897d6,0x2b9eed4a65443467d4893ac438c6ef62be02125344c72f5c53fc81e29fd754b1,0xbb6a8d6996bd115b99c7d1a1c678808dc0471b206ed6811e71635dc44c9de7d1,0x01;;9000;36864
1;0;0x4a31737f8c6a7df553fe9625d5466a3ed47a11d161ab3018d4fb6bc0df863e37;04994c686753bc2b79cd882ba095f406bd367504aaa937befce8b22c4e5d4b64691223bdca38dab97dddcffa908546ac1811c04759acbf9efc1eba3890f072b964;0xbb6a8d6996bd115b99c7d1a1c678808f6d43f0b068af1c8b47c7ce8e27b98533,0x7ae7444e9b318b051a97c6d69c9a9942fde73214c3a3a45c8d1f4baf8a42d375,0x85426732d50522f0b79d87354150f12ca6aa458e5cd6afb18b501e6bf89053bb,0x5567babc4cb5bdca275d8113a8d920f6144297b8c67ec4a0565feaafaf8897d6,0x2b9eed4a65443467d4893ac438c6ef62be02125344c72f5c53fc81e29fd754b1,0xbb6a8d6996bd115b99c7d1a1c678808dc0471b206ed6811e71635dc44c9de7d1,0x01;;9000;36864
1;0;0x6a0d71537f7676b2323a5bf790af07c23d825cc1383c6afae5ae147b2a9f2b13;0412ec15f134ef7e67e96a2fd73514514b3274118a616e3d5c09c4b7ae58929c62179dd22451ca289aadc6614c4ff01db64c2fc89e8ddc2644cd4a877c46001fdb;0xbb6a8d6996bd115b99c7d1a1c678808f6d43f0b068af1c8b47c7ce8e27b98533,0x7ae7444e9b318b051a97c6d69c9a9942fde73214c3a3a45c8d1f4baf8a42d375,0x85426732d50522f0b79d87354150f12ca6aa458e5cd6afb18b501e6bf89053bb,0x5567babc4cb5bdca275d8113a8d920f6144297b8c67ec4a0565feaafaf8897d6,0x2b9eed4a65443467d4893ac438c6ef62be02125344c72f5c53fc81e29fd754b1,0xbb6a8d6996bd115b99c7d1a1c678808dc0471b206ed6811e71635dc44c9de7d1,0x01;;9000;36864
1;0;0x23d7d53121f7465561b8a3a8f1b82a2d494cf09513606b1652208a112a7149fb;04abb81a875ce0ea1a96b2d58ec47f46110639d814c897d6d1818806c6e557115026158427f84258ed44075605ca27b96caa4e34fbb13595662bd1e47756f530eb;0xbb6a8d6996bd115b99c7d1a1c678808f6d43f0b068af1c8b47c7ce8e27b98533,0x7ae7444e9b318b051a97c6d69c9a9942fde73214c3a3a45c8d1f4baf8a42d375,0x85426732d50522f0b79d87354150f12ca6aa458e5cd6afb18b501e6bf89053bb,0x5567babc4cb5bdca275d8113a8d920f6144297b8c67ec4a0565feaafaf8897d6,0x2b9eed4a65443467d4893ac438c6ef62be02125344c72f5c53fc81e29fd754b1,0xbb6a8d6996bd115b99c7d1a1c678808dc0471b206ed6811e71635dc44c9de7d1,0x01;;9000;36864
1;0;0x7344f74caac329e75546419784c09b572740d1e0622e0ba011116e659e8818ed;0482dce9a53f9f3cb2765b78647132cccabff60c5c12c00ba41f76a90ce1015ebd29520525cbc307dd2a18eb5a1c743b4bb7baedc43b1ef00f5833acc1d95ca135;0xbb6a8d6996bd115b99c7d1a1c678808f6d43f0b068af1c8b47c7ce8e27b98533,0x7ae7444e9b318b051a97c6d69c9a9942fde73214c3a3a45c8d1f4baf8a42d375,0x85426732d50522f0b79d87354150f12ca6aa458e5cd6afb18b501e6bf89053bb,0x5567babc4cb5bdca275d8113a8d920f6144297b8c67ec4a0565feaafaf8897d6,0x2b9eed4a65443467d4893ac438c6ef62be02125344c72f5c53fc81e29fd754b1,0xbb6a8d6996bd115b99c7d1a1c678808dc0471b206ed6811e71635dc44c9de7d1,0x01;;9000;36864
1;0;0xba06227975814cc13dcb3623b93a9e87475de3fe2ed1439c4c077f082ae24559;040b1f74e94c91029e4dc9400c497106dedc5cddc26602661afad99c5e9efdcf17589e75a574e01239a7d700098140c33b28477aeba57318bc927d80807d25da15;0xbb6a8d6996bd115b99c7d1a1c678808f6d43f0b068af1c8b47c7ce8e27b98533,0x7ae7444e9b318b051a97c6d69c9a9942fde73214c3a3a45c8d1f4baf8a42d375,0x85426732d50522f0b79d87354150f12ca6aa458e5cd6afb18b501e6bf89053bb,0x5567babc4cb5bdca275d8113a8d920f6144297b8c67ec4a0565feaafaf8897d6,0x2b9eed4a65443467d4893ac438c6ef62be02125344c72f5c53fc81e29fd754b1,0xbb6a8d6996bd115b99c7d1a1c678808dc0471b206ed6811e71635dc44c9de7d1,0x01;;9000;36864
1;0;0x509457d3169f732a1d41cc0bea8a77f6700fd209bae05bc20b89a82fbe475f1c;04b451472c3fb70fdebe44b3dabef12269fe4ebdd12d94bfed8bcf121381f1e0f16b4191dbbecffab7209905f04a49c5a0e907f4de18713de15bfe12d1d6b8f905;0xbb6a8d6996bd115b99c7d1a1c678808f6d43f0b068af1c8b47c7ce8e27b98533,0x7ae7444e9b318b051a97c6d69c9a9942fde73214c3a3a45c8d1f4baf8a42d375,0x85426732d50522f0b79d87354150f12ca6aa458e5cd6afb18b501e6bf89053bb,0x5567babc4cb5bdca275d8113a8d920f6144297b8c67ec4a0565feaafaf8897d6,0x2b9eed4a65443467d4893ac438c6ef62be02125344c72f5c53fc81e29fd754b1,0xbb6a8d6996bd115b99c7d1a1c678808dc0471b206ed6811e71635dc44c9de7d1,0x01;;9000;36864
1;0;0x2698b565cf6d837ef6e6767f155be9329970e4001c3eaf5d959d50279272a346;04039e2baa68103a3cf1ec14a68a60db379220f16f1399c8f8806740cc85f8440786b24c8bddf6d22dc94cafa54ad2ccfe7ef134b75092523a2546c7aaad28eed4;0xbb6a8d6996bd115b99c7d1a1c678808f6d43f0b068af1c8b47c7ce8e27b98533,0x7ae7444e9b318b051a97c6d69c9a9942fde73214c3a3a45c8d1f4baf8a42d375,0x85426732d50522f0b79d87354150f12ca6aa458e5cd6afb18b501e6bf89053bb,0x5567babc4cb5bdca275d8113a8d920f6144297b8c67ec4a0565feaafaf8897d6,0x2b9eed4a65443467d4893ac438c6ef62be02125344c72f5c53fc81e29fd754b1,0xbb6a8d6996bd115b99c7d1a1c678808dc0471b206ed6811e71635dc44c9de7d1,0x01;;9000;36864
1;0;0x32bf2b0d3917bf2eae98243a7626cec6e876ae5ab70363dc91352848fc961339;04418c3931d97427c02a882be48926f0f6d3f9630b1161db83cb19b4b22afbc94e2fd8b17856f30b5f2904906e2b44be220c3d6b78bb424056d71a7c1ddc2d0351;0xbb6a8d6996bd115b99c7d1a1c678808f6d43f0b068af1c8b47c7ce8e27b98533,0x7ae7444e9b318b051a97c6d69c9a9942fde73214c3a3a45c8d1f4baf8a42d375,0x85426732d50522f0b79d87354150f12ca6aa458e5cd6afb18b501e6bf89053bb,0x5567babc4cb5bdca275d8113a8d920f6144297b8c67ec4a0565feaafaf8897d6,0x2b9eed4a65443467d4893ac438c6ef62be02125344c72f5c53fc81e29fd754b1,0xbb6a8d6996bd115b99c7d1a1c678808dc0471b206ed6811e71635dc44c9de7d1,0x01;;9000;36864
1;0;0xa446a008c639be3ce713f06769dbf2c1ef530ca1fd07715d89037bed03870d43;0470dbc8b5d596a5926fa323f51ed93e8c169faf3b0841ba37f5771c3116771e39b2eee22a8482ab237814d6abe7d98fdc5efa20d9112c1234283a7f6e8eb4f595;0xbb6a8d6996bd115b99c7d1a1c678808f6d43f0b068af1c8b47c7ce8e27b98533,0x7ae7444e9b318b051a97c6d69c9a9942fde73214c3a3a45c8d1f4baf8a42d375,0x85426732d50522f0b79d87354150f12ca6aa458e5cd6afb18b501e6bf89053bb,0x5567babc4cb5bdca275d8113a8d920f6144297b8c67ec4a0565feaafaf8897d6,0x2b9eed4a65443467d4893ac438c6ef62be02125344c72f5c53fc81e29fd754b1,0xbb6a8d6996bd115b99c7d1a1c678808dc0471b206ed6811e71635dc44c9de7d1,0x01;;9000;36864
