success;error;signature;valid;data;nonce;priv;pub;curve;params;apdu;sws
1;0;302d021475537fa730b00b6dc262668f517bc67ce36699cb021500bf07779d1466ba8bf498c80e43f3f232570e35d0;;e8c86c9596e46403c211206617b8bcdd160a673b0b1304869f5559e3afe99d79;0xe11690bfc182828ef0accb84909b6ed90aa6a2bb;0xe59ad9537aa65965c90c0014c0f6271d28b3d7ef;04c67cab99446d3cb9703a5d0bc3e8bcb8fe400d28dcc452e027aec989ccdf7ccf7c7d4d932dfde66b;0xe722073635ab3ef4e9152d622b6b01991be16469,0x5cdfa32a3bca0ac8e55798986bf88242a75abeb3,0x408f583ef292e6c3d6daeee33de346635887accf,0x24cf03518c4ecedf494f96b96445e3208e3314ff,0x957af77502da0458080c3aa6e05442bf14395f80,0xe722073635ab3ef4e916107223d36fea457375ef,0x01;302d021475537fa730b00b6dc262668f517bc67ce36699cb021500bf07779d1466ba8bf498c80e43f3f232570e35d0;9000002f302d021475537fa730b00b6dc262668f517bc67ce36699cb021500bf07779d1466ba8bf498c80e43f3f232570e35d0;36864
1;0;302d021500dff188fc36f405769676846606b560e798681c1802140f9197c2492a0a011644928a7bc597e8b6114d5e;;e8c86c9596e46403c211206617b8bcdd160a673b0b1304869f5559e3afe99d79;0x3ade0d10e572799fa21671df381776f947af44e5;0xe59ad9537aa65965c90c0014c0f6271d28b3d7ef;04c67cab99446d3cb9703a5d0bc3e8bcb8fe400d28dcc452e027aec989ccdf7ccf7c7d4d932dfde66b;0xe722073635ab3ef4e9152d622b6b01991be16469,0x5cdfa32a3bca0ac8e55798986bf88242a75abeb3,0x408f583ef292e6c3d6daeee33de346635887accf,0x24cf03518c4ecedf494f96b96445e3208e3314ff,0x957af77502da0458080c3aa6e05442bf14395f80,0xe722073635ab3ef4e916107223d36fea457375ef,0x01;302d021500dff188fc36f405769676846606b560e798681c1802140f9197c2492a0a011644928a7bc597e8b6114d5e;9000002f302d021500dff188fc36f405769676846606b560e798681c1802140f9197c2492a0a011644928a7bc597e8b6114d5e;36864
1;0;302d0214725cda3286c12e110f2ebb3e3c1eca5c2c3f0e5f021500dc44c3158f4c6ae84e2f0deb7b7cdcd75419bae8;;e8c86c9596e46403c211206617b8bcdd160a673b0b1304869f5559e3afe99d79;0x63b87ddde1d274236c2911808f8bc9a0a2c9d038;0xe59ad9537aa65965c90c0014c0f6271d28b3d7ef;04c67cab99446d3cb9703a5d0bc3e8bcb8fe400d28dcc452e027aec989ccdf7ccf7c7d4d932dfde66b;0xe722073635ab3ef4e9152d622b6b01991be16469,0x5cdfa32a3bca0ac8e55798986bf88242a75abeb3,0x408f583ef292e6c3d6daeee33de346635887accf,0x24cf03518c4ecedf494f96b96445e3208e3314ff,0x957af77502da0458080c3aa6e05442bf14395f80,0xe722073635ab3ef4e916107223d36fea457375ef,0x01;302d0214725cda3286c12e110f2ebb3e3c1eca5c2c3f0e5f021500dc44c3158f4c6ae84e2f0deb7b7cdcd75419bae8;9000002f302d0214725cda3286c12e110f2ebb3e3c1eca5c2c3f0e5f021500dc44c3158f4c6ae84e2f0deb7b7cdcd75419bae8;36864
1;0;302d02150086acaa44fd48e996c0a0d4e76e61299f358c199f02146c9d445b8b2159036149fec5c87e1a6864984150;;e8c86c9596e46403c211206617b8bcdd160a673b0b1304869f5559e3afe99d79;0x6d78d3e7a5652aa89302b3e29545bb7e9f3292d2;0xe59ad9537aa65965c90c0014c0f6271d28b3d7ef;04c67cab99446d3cb9703a5d0bc3e8bcb8fe400d28dcc452e027aec989ccdf7ccf7c7d4d932dfde66b;0xe722073635ab3ef4e9152d622b6b01991be16469,0x5cdfa32a3bca0ac8e55798986bf88242a75abeb3,0x408f583ef292e6c3d6daeee33de346635887accf,0x24cf03518c4ecedf494f96b96445e3208e3314ff,0x957af77502da0458080c3aa6e05442bf14395f80,0xe722073635ab3ef4e916107223d36fea457375ef,0x01;302d02150086acaa44fd48e996c0a0d4e76e61299f358c199f02146c9d445b8b2159036149fec5c87e1a6864984150;9000002f302d02150086acaa44fd48e996c0a0d4e76e61299f358c199f02146c9d445b8b2159036149fec5c87e1a6864984150;36864
1;0;302c021405d81adbc5e20ea4a9eb4fe445f74dc6617ddb3902146c39bf4d7dea84d14fbd41717e4e603f4b6952c8;;e8c86c9596e46403c211206617b8bcdd160a673b0b1304869f5559e3afe99d79;0xb0b00aa5e5e2421994da6d3081d35e1936a9296c;0xe59ad9537aa65965c90c0014c0f6271d28b3d7ef;04c67cab99446d3cb9703a5d0bc3e8bcb8fe400d28dcc452e027aec989ccdf7ccf7c7d4d932dfde66b;0xe722073635ab3ef4e9152d622b6b01991be16469,0x5cdfa32a3bca0ac8e55798986bf88242a75abeb3,0x408f583ef292e6c3d6daeee33de346635887accf,0x24cf03518c4ecedf494f96b96445e3208e3314ff,0x957af77502da0458080c3aa6e05442bf14395f80,0xe722073635ab3ef4e916107223d36fea457375ef,0x01;302c021405d81adbc5e20ea4a9eb4fe445f74dc6617ddb3902146c39bf4d7dea84d14fbd41717e4e603f4b6952c8;9000002e302c021405d81adbc5e20ea4a9eb4fe445f74dc6617ddb3902146c39bf4d7dea84d14fbd41717e4e603f4b6952c8;36864
1;0;302e0215008192bf7f937e83eda134e2a3f5322d8ba33bbd0a021500aff019a343a271afe25acf80f51e94c5a3eca8ff;;e8c86c9596e46403c211206617b8bcdd160a673b0b1304869f5559e3afe99d79;0x8c6c1fedecdf114d0dc97b18b7c97deb248eb0b1;0xe59ad9537aa65965c90c0014c0f6271d28b3d7ef;04c67cab99446d3cb9703a5d0bc3e8bcb8fe400d28dcc452e027aec989ccdf7ccf7c7d4d932dfde66b;0xe722073635ab3ef4e9152d622b6b01991be16469,0x5cdfa32a3bca0ac8e55798986bf88242a75abeb3,0x408f583ef292e6c3d6daeee33de346635887accf,0x24cf03518c4ecedf494f96b96445e3208e3314ff,0x957af77502da0458080c3aa6e05442bf14395f80,0xe722073635ab3ef4e916107223d36fea457375ef,0x01;302e0215008192bf7f937e83eda134e2a3f5322d8ba33bbd0a021500aff019a343a271afe25acf80f51e94c5a3eca8ff;90000030302e0215008192bf7f937e83eda134e2a3f5322d8ba33bbd0a021500aff019a343a271afe25acf80f51e94c5a3eca8ff;36864
1;0;302d021500e444f6457ac1e2ae024d55dbd7cd4c71cb426a8302146e097745411305a2f5d67df0d5f9de4a7161bde6;;e8c86c9596e46403c211206617b8bcdd160a673b0b1304869f5559e3afe99d79;0x35676465ccb015e557174fc0551ba057b5a48719;0xe59ad9537aa65965c90c0014c0f6271d28b3d7ef;04c67cab99446d3cb9703a5d0bc3e8bcb8fe400d28dcc452e027aec989ccdf7ccf7c7d4d932dfde66b;0xe722073635ab3ef4e9152d622b6b01991be16469,0x5cdfa32a3bca0ac8e55798986bf88242a75abeb3,0x408f583ef292e6c3d6daeee33de346635887accf,0x24cf03518c4ecedf494f96b96445e3208e3314ff,0x957af77502da0458080c3aa6e05442bf14395f80,0xe722073635ab3ef4e916107223d36fea457375ef,0x01;302d021500e444f6457ac1e2ae024d55dbd7cd4c71cb426a8302146e097745411305a2f5d67df0d5f9de4a7161bde6;9000002f302d021500e444f6457ac1e2ae024d55dbd7cd4c71cb426a8302146e097745411305a2f5d67df0d5f9de4a7161bde6;36864
1;0;302c021412eac5683b2f279f4282e72f5307c48815d28c9a02141346f3756d3231e76a59770833a5b4a6bab885c8;;e8c86c9596e46403c211206617b8bcdd160a673b0b1304869f5559e3afe99d79;0x2ca1c538d6c543c5f90e9cb9ac70158c0c855910;0xe59ad9537aa65965c90c0014c0f6271d28b3d7ef;04c67cab99446d3cb9703a5d0bc3e8bcb8fe400d28dcc452e027aec989ccdf7ccf7c7d4d932dfde66b;0xe722073635ab3ef4e9152d622b6b01991be16469,0x5cdfa32a3bca0ac8e55798986bf88242a75abeb3,0x408f583ef292e6c3d6daeee33de346635887accf,0x24cf03518c4ecedf494f96b96445e3208e3314ff,0x957af77502da0458080c3aa6e05442bf14395f80,0xe722073635ab3ef4e916107223d36fea457375ef,0x01;302c021412eac5683b2f279f4282e72f5307c48815d28c9a02141346f3756d3231e76a59770833a5b4a6bab885c8;9000002e302c021412eac5683b2f279f4282e72f5307c48815d28c9a02141346f3756d3231e76a59770833a5b4a6bab885c8;36864
1;0;302d021500d0df48b39844bb740a3c44df7d0432991117c2420214549965c966e66d97d06cacc2c82a45cf57bd273d;;e8c86c9596e46403c211206617b8bcdd160a673b0b1304869f5559e3afe99d79;0x8997f8d7c5d5c1e67cae45e914ea05e630ed1ad5;0xe59ad9537aa65965c90c0014c0f6271d28b3d7ef;04c67cab99446d3cb9703a5d0bc3e8bcb8fe400d28dcc452e027aec989ccdf7ccf7c7d4d932dfde66b;0xe722073635ab3ef4e9152d622b6b01991be16469,0x5cdfa32a3bca0ac8e55798986bf88242a75abeb3,0x408f583ef292e6c3d6daeee33de346635887accf,0x24cf03518c4ecedf494f96b96445e3208e3314ff,0x957af77502da0458080c3aa6e05442bf14395f80,0xe722073635ab3ef4e916107223d36fea457375ef,0x01;302d021500d0df48b39844bb740a3c44df7d0432991117c2420214549965c966e66d97d06cacc2c82a45cf57bd273d;9000002f302d021500d0df48b39844bb740a3c44df7d0432991117c2420214549965c966e66d97d06cacc2c82a45cf57bd273d;36864
1;0;302e021500a7a0c0a3c307a208eb48b4344cb880cc81fc3695021500b33ef3ecff6e97dc15af6a8c5da1ed61aab79b7c;;e8c86c9596e46403c211206617b8bcdd160a673b0b1304869f5559e3afe99d79;0xba0fb4ca72fae79b4f6bc7c2a4a13d9411dc61cc;0xe59ad9537aa65965c90c0014c0f6271d28b3d7ef;04c67cab99446d3cb9703a5d0bc3e8bcb8fe400d28dcc452e027aec989ccdf7ccf7c7d4d932dfde66b;0xe722073635ab3ef4e9152d622b6b01991be16469,0x5cdfa32a3bca0ac8e55798986bf88242a75abeb3,0x408f583ef292e6c3d6daeee33de346635887accf,0x24cf03518c4ecedf494f96b96445e3208e3314ff,0x957af77502da0458080c3aa6e05442bf14395f80,0xe722073635ab3ef4e916107223d36fea457375ef,0x01;302e021500a7a0c0a3c307a208eb48b4344cb880cc81fc3695021500b33ef3ecff6e97dc15af6a8c5da1ed61aab79b7c;90000030302e021500a7a0c0a3c307a208eb48b4344cb880cc81fc3695021500b33ef3ecff6e97dc15af6a8c5da1ed61aab79b7c;36864
